rank,id,STDIO_OPENS,STDIO_FDOPENS,STDIO_READS,STDIO_WRITES,STDIO_SEEKS,STDIO_FLUSHES,STDIO_BYTES_WRITTEN,STDIO_BYTES_READ,STDIO_MAX_BYTE_READ,STDIO_MAX_BYTE_WRITTEN,STDIO_FASTEST_RANK,STDIO_FASTEST_RANK_BYTES,STDIO_SLOWEST_RANK,STDIO_SLOWEST_RANK_BYTES,module,record_type,STDIO_F_META_TIME,STDIO_F_WRITE_TIME,STDIO_F_READ_TIME,STDIO_F_OPEN_START_TIMESTAMP,STDIO_F_CLOSE_START_TIMESTAMP,STDIO_F_WRITE_START_TIMESTAMP,STDIO_F_READ_START_TIMESTAMP,STDIO_F_OPEN_END_TIMESTAMP,STDIO_F_CLOSE_END_TIMESTAMP,STDIO_F_WRITE_END_TIMESTAMP,STDIO_F_READ_END_TIMESTAMP,STDIO_F_FASTEST_RANK_TIME,STDIO_F_SLOWEST_RANK_TIME,STDIO_F_VARIANCE_RANK_TIME,STDIO_F_VARIANCE_RANK_BYTES
0,15920181672442173319,1.0,0.0,0.0,3.0,0.0,0.0,302.0,0.0,0.0,301.0,0.0,0.0,0.0,0.0,STDIO,counters,,,,,,,,,,,,,,,
0,7238257241479193519,1.0,0.0,0.0,16.0,0.0,0.0,496.0,0.0,0.0,495.0,0.0,0.0,0.0,0.0,STDIO,counters,,,,,,,,,,,,,,,
4,15920181672442173319,1.0,0.0,0.0,1.0,0.0,0.0,34.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,STDIO,counters,,,,,,,,,,,,,,,
0,15920181672442173319,,,,,,,,,,,,,,,STDIO,fcounters,0.0,1.71661376953125e-05,0.0,0.0,0.0,0.015538692474365234,0.0,0.0,0.0,67.67827081680298,0.0,0.0,0.0,0.0,0.0
0,7238257241479193519,,,,,,,,,,,,,,,STDIO,fcounters,0.0,0.00014328956604003906,0.0,0.0,0.0,0.18246102333068848,0.0,0.0,0.0,67.67823600769043,0.0,0.0,0.0,0.0,0.0
4,15920181672442173319,,,,,,,,,,,,,,,STDIO,fcounters,0.0,3.0517578125e-05,0.0,0.0,0.0,67.6781976222992,0.0,0.0,0.0,67.67822813987732,0.0,0.0,0.0,0.0,0.0
